cite_key,method_family,mechanism,constraint_form,guarantee_basis,inference_dependency,tradeoff
fishman2023diffusion,constrained diffusion model.,barrier/reflected diffusion.,inequality-constrained domains.,stochastic process design; numerical discretization and score-model approximation remain practical considerations.,reverse diffusion sampler.,domain-aware diffusion is more specialized than unconstrained Euclidean diffusion.
lou2023reflected,constrained diffusion model.,reflection-based diffusion.,constrained support.,reflection mechanism; exact assumptions need method-section check.,reflected reverse diffusion sampler.,implementation and guarantees depend on the supported domain/reflection construction.
huang2022riemannian,manifold diffusion.,Riemannian score/diffusion modeling.,manifold constraints.,manifold-valued diffusion construction.,manifold diffusion sampler.,"handles manifold constraints, not arbitrary inequality systems without a manifold formulation."
de2022riemannian,manifold score-based generation.,manifold score model.,manifold constraints.,Riemannian SGM formulation.,Riemannian reverse process/sampler.,requires a known or modeled manifold structure.
liu2024mirror,convex-domain diffusion.,mirror diffusion.,convex constrained sets.,valid mirror map and dual-primal transformation.,mirror map and reverse diffusion sampler.,practical scope depends on tractable mirror maps for the target domain.
christopher2024constrained,constrained guided generation.,projected diffusion sampling.,convex and nonconvex constraints in the paper's experiments.,projection/constrained optimization during sampling.,projection or constrained solve during sampling.,stronger constraint handling adds optimization cost and depends on solver quality.
li2025hardflow,constrained flow matching.,terminal constrained trajectory optimization.,terminal hard constraints for molecular conformations.,trajectory optimization solve/surrogate quality.,trajectory optimization or MPC-style constrained sampler.,hard terminal control increases sampling complexity.
khalafi2024constrained,constrained diffusion training.,dual constrained training.,constraints on generated distribution statistics or properties.,dual optimization/training objective.,standard diffusion sampling after constrained training.,distributional constraints do not automatically imply every individual generated sample is feasible.
li2025gauge,gauge-based constrained flow matching.,gauge flow matching.,arbitrary compact convex sets in the paper's stated scope.,bijective gauge map and bounded distribution-approximation analysis.,gauge-map evaluation around the flow-matching sampler.,applicability depends on constructing a valid gauge map for the target compact convex set.
feng2024neural,learned mirror-map constrained diffusion.,NAMM learned mirror map.,general possibly nonconvex constraints with differentiable distance to the constraint set.,learned approximate map; feasibility is map-validity dependent rather than exact by construction in this first-pass reading.,learned mirror map/inverse around the diffusion sampler.,broader constraint coverage comes with approximation error and the need to validate the learned map.
diederen2025flows,normalizing flows on convex polytopes.,polytope flow via ball homeomorphism.,convex polytope support constraints.,polytope-to-ball homeomorphism or barycentric-coordinate construction.,flow sampling plus homeomorphic/barycentric map.,requires a valid polytope representation and map construction.
williams2025simplex,simplex-Euclidean bijection for categorical flow matching.,simplex-to-Euclidean bijection.,simplex support for categorical/discrete data modeling.,smooth simplex-Euclidean bijection and exact discrete recovery construction.,bijection/inverse and categorical decoding.,final validity for downstream combinatorial objects depends on the decoding assumptions.
davis2024fisher,Fisher-geometric flow matching for discrete data.,Fisher Flow.,categorical simplex/positive-orthant support induced by discrete data distributions.,Fisher-Rao manifold construction and geodesic flow matching.,manifold flow sampler and discrete decoding.,support geometry is respected in the categorical distribution space; task-level validity after decoding still needs evaluation.
li2026gauge,gauge-based constrained flow matching.,GFM extended gauge mapping.,"arbitrary compact convex sets, with extensions to star-convex and geodesic-convex sets.","bijective gauge construction, bounded distribution-approximation analysis, and stated nonconvex extensions.","gauge map, ball-domain sampler operations, and inverse map.",constraint coverage depends on a valid gauge/bijective construction for the target geometry.
li2024efficient,constrained diffusion warm-start for trajectory optimization.,constrained diffusion solver warm start.,trajectory dynamics and safety constraints in nonconvex robotics settings.,numerical solver verification; the diffusion model alone is a guided warm-start distribution.,diffusion sampling followed by numerical trajectory optimization.,"improves speed by providing high-quality initial guesses, but final guarantees depend on the downstream solver."
xie2024reflected,reflected flow matching.,reflected flow matching.,constrained-domain support constraints.,reflected dynamics and boundary constraint construction.,reflected ODE/flow sampling.,support preservation depends on boundary handling and numerical simulation error.
deng2024reflected,reflected Schrodinger bridge.,reflected Schrodinger bridge.,bounded-domain support constraints.,reflected SDE construction and boundary conditions.,reflected bridge sampler.,requires valid reflected dynamics/boundary treatment for the target domain.
fishman2024metropolis,Metropolis constrained diffusion sampler.,Metropolis constrained sampling.,convex and nonconvex constraints in the paper's experiments.,valid discretization of reflected Brownian motion and accept-reject sampling.,Metropolis-style constrained sampler.,"efficiency and sample quality depend on proposal behavior, acceptance, and mixing."
zhang2025constrained,constrained Langevin diffusion planning.,Constrained Diffusers.,"trajectory and safety constraints, including discrete control barrier functions.",constrained Langevin iterations and CBF constraints; final strength depends on iteration/tolerance choices.,iterative constrained sampling during reverse diffusion.,avoids retraining but adds iterative optimization cost at sampling time.
jeon2026efficient,landing-based constrained diffusion.,landing mechanism.,nonconvex equality and inequality constraints.,landing mechanism in constrained stochastic dynamics.,landing-based constrained sampler.,feasibility and efficiency depend on the landing construction and the cost of constrained dynamics.
naderiparizi2025constrained,manually bridged constrained diffusion.,manually bridged diffusion.,bridge-form constraints that can be manually specified and combined.,mathematical validity of the manual-bridge construction and constraint-combination rules.,bridged diffusion sampler.,requires constraints to be expressible through the manual-bridge framework.
narasimhan2025constrained,constrained posterior sampling.,CPS posterior-mean projection.,"time-series hard constraints, including many simultaneous constraints in experiments.",projection step applied during posterior sampling; tolerance and projection quality matter.,projection after denoising updates.,repeated projection improves feasibility but adds sampling-time correction cost.
christopher2025constrained,constrained diffusion for protein design.,proximal ADMM constrained diffusion.,"bonding, stereochemical, geometric, motif, and pocket-design constraints in protein design.",proximal feasibility updates and ADMM decomposition in the generative process.,feasibility-update and ADMM correction steps during sampling.,domain-specific constraint handling increases sampling/correction complexity.
zampini2025trainingfree,training-free latent-space constrained stable diffusion.,latent proximal correction.,"arbitrary constraint sets in the paper's stated stable-diffusion framework, with convex-constraint guarantees discussed.",proximal Langevin correction and projection/surrogate constraint evaluation.,iterative latent correction during sampling; surrogate or simulator if constraints are not directly differentiable.,"training-free and compatible with stable diffusion, but correction quality depends on decoder gradients and constraint/surrogate fidelity."
huang2024constrained,trust-region constrained diffusion guidance.,trust sampling.,proxy-constraint functions used during diffusion inference.,trust-region/proxy-guidance heuristic; first-pass source does not support a hard pointwise guarantee.,multiple proxy-gradient steps and manifold trust checks during sampling.,"flexible and training-free, but guidance strength and trust criteria affect sample quality and feasibility."
lee2025local,manifold-aware diffusion planning.,LoMAP local projection.,trajectory feasibility as adherence to the data/manifold of valid offline trajectories.,local manifold approximation and projection; feasibility is data-manifold dependent.,"nearest-neighbor retrieval, local PCA, and projection at sampling steps.",training-free but adds retrieval/projection cost and depends on offline dataset coverage.
