year,type,topic,cite_key,title,venue,url,first_citation_location
2017,Constrained generative models,Constrained generative models: autoregressive and sequence-level constraints,anderson2017guided,Guided open vocabulary image captioning with constrained beam search,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,,Sections/Part2.tex:60
2017,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,amos2017optnet,Optnet: Differentiable optimization as a layer in neural networks,International Conference on Machine Learning,,Sections/4.Discussion.tex:13
2017,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,tjeng2017evaluating,Evaluating robustness of neural networks with mixed integer programming,arXiv preprint arXiv:1711.07356,https://arxiv.org/pdf/1711.07356,Sections/Part1.tex:109
2018,Constrained generative models,Constrained generative models: autoregressive and sequence-level constraints,post2018fast,Fast lexically constrained decoding with dynamic beam allocation for neural machine translation,"Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers)",,Sections/Part2.tex:60
2018,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,xiao2018training,Training for faster adversarial robustness verification via inducing relu stability,arXiv preprint arXiv:1809.03008,https://arxiv.org/pdf/1809.03008,Sections/Part1.tex:109
2019,Constrained generative models,Constrained generative models: autoregressive and sequence-level constraints,dathathri2019plug,Plug and play language models: A simple approach to controlled text generation,arXiv preprint arXiv:1912.02164,https://arxiv.org/pdf/1912.02164,Sections/Part2.tex:60
2019,Constrained generative models,Constrained generative models: autoregressive and sequence-level constraints,miao2018cgmh,CGMH: Constrained Sentence Generation by Metropolis-Hastings Sampling,Proceedings of the AAAI Conference on Artificial Intelligence,https://arxiv.org/abs/1811.10996,Sections/Part2.tex:60
2019,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,baker2019learning,Learning warm-start points for AC optimal power flow,2019 IEEE 29th International Workshop on Machine Learning for Signal Processing (MLSP),,Sections/Part1.tex:125
2019,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,cheng2019end,End-to-end safe reinforcement learning through barrier functions for safety-critical continuous control tasks,Proceedings of the AAAI Conference on Artificial Intelligence,,Sections/Part1.tex:50
2019,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,diehl2019warm,Warm-starting AC optimal power flow with graph neural networks,33rd Conference on Neural Information Processing Systems (NeurIPS 2019),,Sections/Part1.tex:55
