cite_key,method_family,mechanism,constraint_form,guarantee_basis,inference_dependency,tradeoff
cao2026scpo,safe-update training for policy networks.,SCPO weight-space projection.,rollout-evaluated safety metrics and local smoothness-based safe regions in parameter space.,sampling-based local safe region and projected policy-update analysis.,no output repair layer; safety is enforced during parameter updates.,"provides training-time safe-update guarantees for policy learning, but depends on rollout coverage, local smoothness bounds, feasible QCQP projections, and a safe initialization."
liang2023hp,projection-analogous correction / homeomorphic projection.,homeomorphic projection.,constraints whose feasible set is homeomorphic to a unit ball.,mapping validity and latent bisection under the paper's assumptions.,learned map and bisection/projection step.,effectiveness depends on learning a valid low-distortion homeomorphism.
liang2024hp,projection-analogous correction / homeomorphic projection.,INN-based homeomorphic projection.,constrained sets satisfying the paper's homeomorphism assumptions.,homeomorphism/bi-Lipschitz assumptions and bisection construction.,invertible map and latent bisection.,requires a learned map that accurately represents the feasible set geometry.
liang2024bis,projection-analogous correction / bisection projection.,bisection projection.,compact input-dependent feasible sets with non-empty interiors under the paper's assumptions; experiments include convex and nonconvex constrained optimization instances.,"sufficient conditions for IPNN feasibility, compact-set/interior assumptions, feasibility checks, and bisection analysis.","raw predictor, IPNN, and finite bisection steps.","lower online cost than generic projection, but performance depends on valid interior-point prediction, feasible-set membership checks, and the number of bisection steps."
donti2021dc3,completion and correction layer.,DC3 completion-correction.,equality and inequality constraints in hard-constrained optimization.,analytical completion plus iterative correction; tolerance and problem structure matter.,completion/correction steps.,stronger feasibility handling requires extra inference-time correction.
tordesillas2023rayen,hard convex constraint layer.,hard convex constraint imposition.,"linear, convex quadratic, second-order cone, linear matrix inequality, and related convex constraints stated by the paper.",by-construction parameterization described by the paper.,RAYEN layer evaluation.,applicability follows the supported convex constraint classes.
frerix2020homogeneous,constrained activation parameterization.,activation-space parameterization.,homogeneous linear inequalities `Ax <= 0`.,by-construction feasible parameterization.,none beyond the constrained network layer.,limited to the homogeneous linear inequality setting in this first pass.
tabas2022safe,gauge-map MPC feasible-set parameterization.,Gauge NN / interior-point gauge map.,finite-horizon MPC constraints with polytopic state/input constraints in the paper's studied settings.,Phase-I interior-point construction and gauge-map parameterization of the MPC feasible set.,interior-point construction and closed-form gauge-map evaluation.,feasibility depends on the MPC feasible set being strictly feasible and on the availability and stability of the gauge-map construction; the approach targets speed compared with online MPC or projection-based correction.
christopher2024constrained,constrained guided generation.,projected diffusion sampling.,convex and nonconvex constraints in the paper's experiments.,projection/constrained optimization during sampling.,projection or constrained solve during sampling.,stronger constraint handling adds optimization cost and depends on solver quality.
park2022self,primal-dual learning.,self-supervised primal-dual learning.,constrained optimization problems.,empirical feasibility and optimality-gap evaluation; no by-construction pointwise feasibility of the raw primal network is claimed.,"feed-forward primal and dual networks, with training inspired by ALM updates.","avoids presolved labels and uses instance-specific multipliers, but feasibility remains measured by violations unless paired with an additional repair/certificate."
