topic,cite_key,title,year,venue,url,first_citation_location,first_citation_section
Related surveys and background,karniadakis2021physics,Physics-informed machine learning,2021,Nature Reviews Physics,,Sections/1.Intro.tex:20,Related Surveys and Our Contributions
Related surveys and background,hao2022physics,"Physics-informed machine learning: A survey on problems, methods and applications",2022,arXiv preprint arXiv:2211.08064,https://arxiv.org/pdf/2211.08064,Sections/1.Intro.tex:20,Related Surveys and Our Contributions
Related surveys and background,banerjee2024physics,Physics-informed computer vision: A review and perspectives,2024,ACM Computing Surveys,,Sections/1.Intro.tex:20,Related Surveys and Our Contributions
Related surveys and background,farea2024understanding,"Understanding physics-informed neural networks: techniques, applications, trends, and challenges",2024,AI,,Sections/1.Intro.tex:20,Related Surveys and Our Contributions
Related surveys and background,meng2025physics,When physics meets machine learning: A survey of physics-informed machine learning,2025,Machine Learning for Computational Science and Engineering,,Sections/1.Intro.tex:20,Related Surveys and Our Contributions
Related surveys and background,bronstein2017geometric,Geometric deep learning: going beyond euclidean data,2017,IEEE Signal Processing Magazine,,Sections/1.Intro.tex:22,Related Surveys and Our Contributions
Related surveys and background,bronstein2021geometric,"Geometric deep learning: Grids, groups, graphs, geodesics, and gauges",2021,arXiv preprint arXiv:2104.13478,https://arxiv.org/pdf/2104.13478,Sections/1.Intro.tex:22,Related Surveys and Our Contributions
Related surveys and background,bengio2021machine,Machine learning for combinatorial optimization: a methodological tour d’horizon,2021,European Journal of Operational Research,,Sections/1.Intro.tex:24,Related Surveys and Our Contributions
Related surveys and background,mazyavkina2021reinforcement,Reinforcement learning for combinatorial optimization: A survey,2021,Computers & Operations Research,,Sections/1.Intro.tex:24,Related Surveys and Our Contributions
Related surveys and background,karimi2022machine,Machine learning at the service of meta-heuristics for solving combinatorial optimization problems: A state-of-the-art,2022,European Journal of Operational Research,,Sections/1.Intro.tex:24,Related Surveys and Our Contributions
Related surveys and background,chen2021learning,Learning to optimize: A primer and a benchmark,2021,arXiv preprint arXiv:2103.12828,https://arxiv.org/pdf/2103.12828,Sections/1.Intro.tex:26,Related Surveys and Our Contributions
