cite_key,method_family,mechanism,constraint_form,guarantee_basis,inference_dependency,tradeoff
amos2017optnet,differentiable optimization layer.,differentiable QP layer.,QP constraints.,numerical optimization solve.,QP solve.,strong constraint handling comes with solver cost and QP-form modeling limits.
agrawal2019differentiable,differentiable convex optimization layer.,DPP-to-ASA differentiable layer.,"disciplined parametrized convex programs, lowered to cone programs.",numerical conic solve plus analytical differentiation through the ASA representation.,convex/conic optimization solve.,broad convex modeling support comes with solver cost and DPP grammar restrictions.
diamond2016cvxpy,convex optimization modeling language.,convex DSL canonicalization.,DCP-verifiable convex constraints converted to conic form.,convexity verification and numerical conic solver.,external convex solver.,"this is infrastructure for optimization modeling, not by itself a neural feasibility layer."
tanneau2024dual,dual conic optimization proxy.,dual-feasible completion.,linear and nonlinear conic optimization problems.,conic dual completion and projection.,dual proxy plus completion/projection formulas or layers.,provides certificates/bounds but must be paired with a primal proxy if a feasible primal decision is needed.
bambade2024leveraging,differentiable QP layer.,infeasible-QP differentiation.,convex quadratic programs with linear constraints.,augmented-Lagrangian/KKT-based construction and closest-feasible-solution formulation.,QP/QPLayer solve.,improves trainability of QP layers but still relies on specialized QP solves.
meng2021physarum,differentiable LP layer.,Physarum-powered LP module.,linear equality and inequality constraints.,Physarum-dynamics convergence analysis for covered LP classes.,iterative LP-layer solve.,"offers a differentiable approximate LP module, not a general hard-feasibility output parameterization for arbitrary constraints."
chen2021enforcing,differentiable projection policy layer.,PROF differentiable projection.,convex approximations of energy-system operational constraints.,projection onto the modeled convex set.,convex projection solve/layer.,"feasibility is with respect to approximate convex constraints, so model fidelity matters."
zhu2025t,linear-constraint feasibility iteration.,T-SKM iterative post-processing.,linear equalities and inequalities transformed into inequality form.,SKM-type iterative feasibility theory and the paper's post-processing analysis.,iterative T-SKM post-processing layer.,targets linear constraints and introduces iterative inference cost.
zeng2024glinsat,general linear satisfiability layer.,GLinSAT accelerated linear satisfiability.,bounded and general linear constraints.,convex dual reformulation and accelerated gradient convergence.,accelerated gradient iterations.,general linear support is obtained through iterative optimization rather than a closed-form map.
rashwan2025enforcing,graph-output convex projection.,ProjNet CAD projection.,convex constraints over variable-size graph outputs.,CAD best-approximation convergence for the modeled convex sets.,iterative CAD projection.,exact projection gradients are replaced by a surrogate gradient for training efficiency.
grontas2025pinet,orthogonal projection layer.,PiNet orthogonal projection.,convex constraints.,orthogonal projection onto the convex feasible set.,operator-splitting projection solve.,feasible outputs require a projection solve; accuracy and speed depend on projection convergence.
lastrucci2025enforce,adaptive nonlinear equality projection.,ENFORCE AdaNP projection.,nonlinear equality constraints depending on inputs and outputs.,adaptive projection construction and stated Lipschitz/stability analysis.,adaptive projection module.,"focused on equality constraints, with computational complexity tied to the number of constraints."
chu2026snarenet,repair layer for hard constraints.,SnareNet repair layer.,"input-dependent constraints, including nonconvex cases in the paper's stated scope.",differentiable repair iterations and adaptive relaxation framework.,repair-layer iterations.,broader constraint handling depends on iterative repair precision and tolerance settings.
chalapathi2024scaling,decomposed physics-informed hard constraints.,PI-HC-MoE local hard constraints.,equality constraints from physical laws/PDE residuals over spatiotemporal domains.,differentiable constrained optimization per expert.,local expert optimization solves.,"scalability improves through decomposition, but the hard constraint is enforced through multiple optimization layers."
tang2024learning,L2O for mixed-integer nonlinear programs.,integer correction plus projection.,integer constraints plus continuous feasibility constraints in MINLPs.,correction-layer construction and projection convergence proof.,integer correction layers plus projection step.,general MINLP coverage requires correction/projection logic after neural prediction.
utkarsh2025end,probabilistic hard-constrained prediction.,ProbHardE2E DPPL.,"operational/physical constraints, including nonlinear constraints in the paper's stated scope.",differentiable probabilistic projection layer.,probabilistic projection layer.,projection-layer design must match the target constraints and forecasting distributional setup.
heaton2021feasibility,feasibility-based fixed-point network.,F-FPN nonexpansive fixed points.,feasibility constraints from inverse-problem measurement models.,nonexpansive operator/fixed-point formulation.,fixed-point iteration.,"feasibility is tied to the modeled projection operators, while recovery quality depends on learned regularization."
heaton2022wasserstein,learned projection for inverse problems.,Wasserstein-based projection.,data-manifold constraint/regularization.,Wasserstein projection learning analysis.,learned projection inside an iterative inverse-problem method.,"guarantees are for approximating the data-manifold projection, not arbitrary task constraints."
